Site,Year,Station,X,Y
Welgevonden,2016,27,27.80304,-24.3591
Welgevonden,2016,28,27.82789,-24.35162
Welgevonden,2016,29,27.75982,-24.23368
Welgevonden,2016,30,27.88891,-24.20853
Welgevonden,2016,31,27.81246,-24.37213
Welgevonden,2016,32,27.78673,-24.26212
Welgevonden,2016,33,27.72356,-24.24094
Welgevonden,2016,34,27.83666,-24.25973
Welgevonden,2016,35,27.86754,-24.26892
Welgevonden,2016,36,27.89598,-24.26211
Welgevonden,2016,37,27.79262,-24.22797
Welgevonden,2016,38,27.81378,-24.23128
Welgevonden,2016,39,27.82839,-24.22743
Welgevonden,2016,40,27.87229,-24.22251
Wonderkop,2015,1,28.66629982,-23.27362061
Wonderkop,2015,2,28.61008072,-23.22921944
Wonderkop,2015,3,28.58810997,-23.21429062
Wonderkop,2015,4,28.61351013,-23.20447922
Wonderkop,2015,5,28.6280098,-23.22643089
Wonderkop,2015,6,28.64060974,-23.21582985
Wonderkop,2015,7,28.65834999,-23.21027946
Wonderkop,2015,8,28.65559959,-23.2301693
Wonderkop,2015,9,28.63869095,-23.20170021
Wonderkop,2015,10,28.67330933,-23.2168293
Wonderkop,2015,11,28.65974998,-23.29463959
Wonderkop,2015,12,28.67938995,-23.2437706
Wonderkop,2015,13,28.69457054,-23.25844002
Wonderkop,2015,14,28.66381073,-23.25581932
Wonderkop,2015,15,28.67227936,-23.30427933
Wonderkop,2015,16,28.64948082,-23.28060913
Wonderkop,2015,17,28.62507057,-23.32245064
Wonderkop,2015,18,28.66747093,-23.32003975
Wonderkop,2015,19,28.66292953,-23.3591404
Wonderkop,2015,20,28.65570068,-23.38027954
Wonderkop,2015,21,28.64084053,-23.37583923
Wonderkop,2015,22,28.6232605,-23.33513069
Wonderkop,2015,23,28.62663078,-23.35428047
Wonderkop,2015,24,28.60874939,-23.3627491
Wonderkop,2015,25,28.59514999,-23.37915993
Wonderkop,2015,26,28.61569023,-23.37253952
Wonderkop,2015,27,28.57472992,-23.37755013
Wonderkop,2015,28,28.57416916,-23.39410973
Wonderkop,2015,29,28.58531952,-23.39863968
Wonderkop,2015,30,28.60647964,-23.39015961
Wonderkop,2015,31,28.62342072,-23.38746071
Wonderkop,2015,32,28.61948967,-23.40513992
Wonderkop,2015,33,28.64014053,-23.32628059
Wonderkop,2015,34,28.6431694,-23.39645958
Wonderkop,2015,35,28.63208961,-23.29974937
Wonderkop,2015,36,28.65177917,-23.34164047
Wonderkop,2015,37,28.64146042,-23.35955048
Zingela,2016,1,28.61558342,-22.77852058
Zingela,2016,2,28.60455894,-22.75838089
Zingela,2016,3,28.65768623,-22.88414192
Zingela,2016,4,28.53230667,-22.92786217
Zingela,2016,5,28.61318398,-22.86098862
Zingela,2016,6,28.65558434,-22.84203911
Zingela,2016,7,28.56344414,-22.83889008
Zingela,2016,8,28.57506561,-22.86294937
Zingela,2016,9,28.53412056,-22.85081863
Zingela,2016,10,28.63532829,-22.85677528
Zingela,2016,11,28.57211113,-22.82281685
Zingela,2016,12,28.59924126,-22.83635712
Zingela,2016,13,28.55552673,-22.88633347
Zingela,2016,14,28.63140297,-22.8151226
Zingela,2016,15,28.63495064,-22.8366394
Zingela,2016,16,28.60515022,-22.78934479
Zingela,2016,17,28.63899994,-22.75904274
Zingela,2016,18,28.6297493,-22.88081551
Zingela,2016,19,28.5837841,-22.95372581
Zingela,2016,20,28.62400818,-22.91331482
Zingela,2016,21,28.64825821,-22.89521408
Zingela,2016,22,28.60460281,-22.93924141
Zingela,2016,23,28.52818871,-22.91096497
Zingela,2016,24,28.64094353,-22.78068352
Zingela,2016,25,28.60804176,-22.80581474
Zingela,2016,26,28.55457687,-22.85879326
Zingela,2016,27,28.65803337,-22.81689262
Zingela,2016,28,28.58989525,-22.92527199
Zingela,2016,29,28.57506371,-22.79235077
Zingela,2016,30,28.58498955,-22.87334633
Zingela,2016,31,28.58839417,-22.7773571
Zingela,2016,32,28.65081215,-22.80018806
Zingela,2016,33,28.61150742,-22.87696838
Zingela,2016,34,28.59486389,-22.89930534
Zingela,2016,35,28.62535286,-22.8993206
Zingela,2016,36,28.5695591,-22.92442513
Zingela,2016,37,28.55290604,-22.90881348
Zingela,2016,38,28.66512871,-22.77515411
Zingela,2016,39,28.61266708,-22.82595444
Zingela,2016,40,28.58870506,-22.85226822
