TrapID	x	y		LeopardRAI	SpHyRAI	HumanRAI
Khact20	120036.4876	7172863.522	/	3.333333333	7.777777778	7.777777778
Khact21	130288.371	7171459.051	/	0	0	17.03703704
Khact23	135030.2993	7169989.526	/	0	1.111111111	3.333333333
Khact24	127396.9237	7168352.484	/	0	1.481481481	2.962962963
Khact25	130299.4341	7165869.973	/	0	0	3.703703704
Khact26	127000.6573	7165715.829	/	0	5.555555556	4.444444444
Khact27	123548.5266	7167780.471	/	0	1.111111111	12.22222222
Khact28	124589.6198	7163452.994	/	0.740740741	0.740740741	2.962962963
Khact29	125718.3421	7167438.76	/	0	0.81300813	3.25203252
Khact30	124724.9882	7173374.519	/	1.481481481	0.740740741	2.962962963
Khact31	108296.1789	7165765.839	/	0	1.111111111	5.555555556
Khact32	118197.8451	7158041.549	/	0	0	4.444444444
Khact33	114504.2033	7166636.226	/	0	0	2.777777778
Khact34	109217.1958	7159980.121	/	0	0	3.703703704
Khact35	118664.8601	7161116.987	/	0	0	2.962962963
Khact36	115874.0567	7163190.857	/	0	0	7.407407407
Khact37	105957.0058	7168099.933	/	0	0.740740741	2.962962963
Khact38	108295.6847	7163388.304	/	1.481481481	0	2.962962963
Khact39	120908.6028	7159884.931	/	0	0.740740741	2.962962963
Khact40	107269.7323	7156828.076	/	0	0	3.703703704
Kpgct1	948525.0088	6933766.548	/	2.702702703	0	2.702702703
Kpgct2	962032.0253	6937577.616	/	1.136363636	0	5.681818182
Kpgct3	956025.4385	6934141.071	/	1.136363636	0	15.90909091
Kpgct4	951578.2826	6933139.051	/	11.9047619	0	22.61904762
Kpgct5	951648.8941	6934427.702	/	3.03030303	0.757575758	12.87878788
Kpgct6	963487.1875	6939470.669	/	2.272727273	0	14.77272727
Kpgct7	960965.2412	6939685.217	/	0	1.136363636	6.818181818
Kpgct8	961405.5124	6941114.482	/	0	0	6.818181818
Kpgct9	966094.1517	6940235.989	/	1.136363636	1.136363636	5.681818182
Kpgct10	965892.05	6938446.471	/	1.515151515	0	4.545454545
Kpgct11	949040.4893	6937197.823	/	11.9047619	1.19047619	8.333333333
Kpgct12	952146.8396	6936802.848	/	7.142857143	0	2.380952381
Kpgct13	958717.0709	6938359.714	/	6.060606061	0	7.575757576
Kpgct14	960653.3288	6936386.191	/	0.757575758	0	5.303030303
Kpgct15	958371.7212	6935524.319	/	0	0	5.681818182
Kpgct16	960138.361	6933737.235	/	2.272727273	0	13.63636364
Kpgct17	955988.3558	6939547.888	/	1.136363636	0	12.5
Kpgct18	953206.9903	6935314.338	/	3.409090909	1.136363636	23.86363636
Kpgct19	949683.0794	6935059.469	/	2.272727273	0	6.060606061
Kpgct20	950304.9538	6933465.193	/	0	2.272727273	9.090909091
Kpgct21	955260.3034	6936307.882	/	12.12121212	2.272727273	4.545454545
Kpgct22	953385.4524	6938193.664	/	6.060606061	1.515151515	6.818181818
Kpgct23	950916.0039	6937859.712	/	5.303030303	0.757575758	6.818181818
Kpgct24	947607.7982	6938937.336	/	9.090909091	0	4.545454545
Kpgct25	958005.3194	6933364.312	/	0	0	10.22727273
Kpgct26	958174.5984	6931186.344	/	0	0	9.090909091
Kpgct27	955806.8534	6931478.766	/	0	0	4.166666667
Kpgct28	953134.5695	6931963.208	/	11.36363636	1.136363636	6.818181818
Kpgct29	954217.6406	6933435.25	/	10.22727273	2.272727273	5.681818182
Kpgct30	949804.4501	6940437.703	/	0.757575758	0	4.545454545
Kpgct31	968507.3904	6940459.172	/	1.515151515	0	6.818181818
Kpgct32	957409.967	6941151.616	/	3.787878788	0	4.545454545
Kpgct33	954338.1503	6941230.865	/	2.272727273	0	6.818181818
Kpgct44	957895.254	6929682.095	/	0.757575758	0	11.36363636
Kwact1	453387.8052	6341250.637	/	1.030927835	0	5.154639175
Kwact2	451725.7234	6340024.267	/	0	0	3.883495146
Kwact3	455478.6977	6341314.942	/	0	0	7.936507937
Kwact4	456971.2814	6340376.531	/	0	0	8.333333333
Kwact5	459147.2644	6341034.466	/	0	0	3.947368421
Kwact6	461524.6422	6339954.257	/	0	0	4.109589041
Kwact7	460980.5932	6338110.543	/	10.29411765	0	16.17647059
Kwact8	459282.4579	6338015.59	/	0	0	7.407407407
Kwact9	458142.8573	6338929.778	/	2.43902439	0	24.3902439
Kwact10	456089.5707	6337639.267	/	1.298701299	0	3.896103896
Kwact11	455587.1026	6338954.439	/	0	0	2.830188679
Kwact12	453569.2035	6337161.927	/	10.18518519	0	5.555555556
Kwact13	451696.2671	6337426.58	/	4.62962963	0	2.777777778
Kwact14	453232.3048	6335574.764	/	0	0	9.589041096
Kwact15	455657.1282	6336647.576	/	0	0	3.658536585
Kwact16	457859.6522	6335758.877	/	0	0	5.555555556
Kwact17	460482.6865	6335927.22	/	3.191489362	0	19.14893617
Kwact18	462369.6591	6335182.889	/	0	0	8.450704225
Kwact19	461141.365	6334411.818	/	0	0	4.761904762
Kwact20	458814.062	6334309.896	/	0.934579439	0	3.738317757
Kwact21	455031.322	6334670.135	/	0	0	9.677419355
Kwact22	455830.213	6332995.208	/	0	0	3.636363636
Kwact23	453107.9005	6331902.995	/	0	0	7.692307692
Kwact24	450742.7313	6334920.686	/	0	0	2.739726027
Kwact25	449676.5834	6332791.668	/	2.53164557	0	6.329113924
Kwact26	452293.6441	6330513.48	/	0	0	8.571428571
Kwact27	455247.5388	6331382.86	/	0	0	4.347826087
Kwact28	457540.6738	6330296.694	/	0	0	5.633802817
Kwact29	454513.8297	6329654.585	/	0	0	6.52173913
Kwact30	454104.0339	6327183.71	/	0	0	7.042253521
Kwact31	452780.5952	6328531.377	/	0	0	9.174311927
Kwact32	450658.8009	6328595.306	/	0	0	3.636363636
Kwact33	458092.4152	6337051.711	/	3.50877193	0	7.01754386
Kwact34	457458.1611	6339828.025	/	4.494382022	0	2.247191011
Kwact35	448872.9303	6328153.224	/	0	0	4.494382022
Kwact36	449551.0996	6326649.429	/	0	0	4.210526316
Kwact37	451089.1962	6326288.29	/	0	0	4.166666667
Kwact38	452491.2799	6327019.468	/	0	0	7.142857143
Kwact39	453235.6464	6333863.784	/	0	0	2.631578947
Kwact40	458728.5472	6331991.702	/	0	0	8.695652174
Lapct1	635848.9915	7355355.001	/	0	0	2.127659574
Lapct2	636530.3795	7353978.326	/	0.943396226	0	7.547169811
Lapct3	641754.5757	7357696.109	/	0	0	5.660377358
Lapct4	638970.737	7352519.922	/	0.943396226	0	5.660377358
Lapct5	641805.0552	7354861.306	/	0	0	17.64705882
Lapct6	635955.4384	7374446.612	/	5.769230769	0	2.884615385
Lapct7	628118.4342	7354662.032	/	15.38461538	0	5.769230769
Lapct8	628793.6385	7357181.53	/	3.846153846	0	5.769230769
Lapct9	631508.7878	7354371.414	/	2.222222222	0	2.222222222
Lapct10	624472.8334	7357714.637	/	3.846153846	0	4.807692308
Lapct11	629934.599	7370569.267	/	0	0	2.083333333
Lapct12	633777.39	7367760.352	/	0	0	2.884615385
Lapct13	639769.0787	7374734.066	/	0	0	11.66666667
Lapct14	636202.2133	7376169.851	/	0.961538462	0	2.884615385
Lapct15	632694.3154	7371383.979	/	4.807692308	0	3.846153846
Lapct16	637653.8428	7368062.518	/	0	0	2.884615385
Lapct17	640752.1117	7371115.238	/	3.846153846	0	5.769230769
Lapct18	634009.771	7369669.798	/	1.923076923	0	5.769230769
Lapct19	630720.1378	7366054.796	/	1.923076923	0	3.846153846
Lapct20	631662.6145	7363723.366	/	0	0	4.807692308
Lapct21	630260.2568	7362713.962	/	1.923076923	0	4.807692308
Lapct22	634388.9176	7361260.283	/	4.444444444	0	2.222222222
Lapct23	633787.4114	7359617.271	/	1.960784314	0	3.921568627
Lapct25	635602.1109	7365569.069	/	1.923076923	0	5.769230769
Lapct26	638330.1166	7364650.074	/	0	0	10
Lapct27	638026.5342	7357361.106	/	2.040816327	0	13.26530612
Lapct28	632103.0642	7358426.951	/	2.083333333	0	5.208333333
Lapct29	624333.5465	7368939.792	/	0	0	4.901960784
Lapct30	628431.6508	7369156.152	/	2.941176471	0	2.941176471
