Site,X,Y
Pilanesberg,519792.4835,7205967.676
Pilanesberg,518699.2658,7207661.232
Pilanesberg,517333.768,7205377.523
Pilanesberg,515917.6315,7209289.238
Pilanesberg,515191.2329,7207305.745
Pilanesberg,513771.9277,7204956.408
Pilanesberg,513209.2367,7208201.438
Pilanesberg,510897.0472,7208369.596
Pilanesberg,510658.7435,7206301.302
Pilanesberg,512877.4633,7203517.76
Pilanesberg,509055.0057,7202334.913
Pilanesberg,510711.6666,7200661.627
Pilanesberg,505810.9949,7201138.567
Pilanesberg,504918.5715,7199515.572
Pilanesberg,504710.6996,7197967.591
Pilanesberg,516128.8576,7203142.205
Pilanesberg,510888.494,7199012.664
Songimvelo,890519.3473,7115882.63
Songimvelo,892597.2754,7114711.352
Songimvelo,895486.425,7114674.046
Songimvelo,899048.3696,7116070.932
Songimvelo,891711.1548,7117498.654
Songimvelo,893902.7885,7116930.991
Songimvelo,897067.6333,7115551.852
Songimvelo,894490.1021,7117679.212
Songimvelo,896352.3929,7117497.395
Songimvelo,895485.5709,7119183.248
Songimvelo,893971.3713,7118839.345
Songimvelo,892317.5561,7117884.509
Songimvelo,892946.6216,7120725.09
Songimvelo,892071.7453,7123571.941
Songimvelo,896184.048,7120846.103
Songimvelo,898501.2237,7120067.448
Songimvelo,900131.3996,7121468.618
Songimvelo,899667.0059,7113836.152
Songimvelo,906296.8687,7118266.538
Songimvelo,905358.1322,7120219.701
Songimvelo,901362.4292,7123063.95
Songimvelo,895879.3757,7122184.1
Songimvelo,897138.2473,7118302.775
Songimvelo,903242.1033,7119609.021
Songimvelo,901320.4942,7121271.222
Songimvelo,899581.5471,7116711.828
Songimvelo,892571.0706,7121717.645
Venetia,731905.7861,7534701.04
Venetia,733028.6545,7534089.399
Venetia,736548.6345,7536209.772
Venetia,739261.8236,7534483.35
Venetia,743078.4497,7534265.786
Venetia,741836.1834,7532616.744
Venetia,739628.7961,7532604.387
Venetia,736875.157,7533070.862
Venetia,729283.9572,7531899.64
Venetia,732487.684,7530729.89
Venetia,729665.8432,7529074.791
Venetia,732562.9103,7530728.764
Venetia,735100.8514,7529860.836
Venetia,738739.4826,7530345.944
Venetia,741792.0045,7529909.881
Venetia,741277.8364,7527931.529
Venetia,737945.8666,7528802.757
Venetia,734088.194,7527570.841
Venetia,731334.1701,7527884.658
Venetia,728224.0424,7526692.26
Venetia,732987.837,7525735.204
Venetia,736081.8967,7526326.486
Venetia,737533.4838,7525295.103
Venetia,739734.3446,7527220.963
Venetia,743282.6074,7526170.871
Venetia,742299.2987,7524114.593
Venetia,739694.5949,7523584.58
Venetia,734728.3084,7524518.074
Venetia,728672.8626,7523659.289
Venetia,732072.5845,7523722.82
Venetia,735431.992,7522414.768
Venetia,741091.6652,7522192.496
Venetia,743831.2926,7522336.81
Venetia,749858.8308,7519424.375
Venetia,731779.9606,7520900.167
Venetia,737847.5135,7520986.421
Venetia,741152.8958,7519379.832
Venetia,743693.6233,7517785.651
Venetia,734750.4453,7516475.136
Venetia,733315.8021,7513197.875
Welgevonden,576823.2671,7316450.014
Welgevonden,589892.5223,7320341.624
Welgevonden,587966.7967,7319286.268
Welgevonden,585786.4502,7317882.298
Welgevonden,583857.0563,7317810.808
Welgevonden,579977.5911,7322624.44
Welgevonden,580076.2008,7318327.648
Welgevonden,581675.5281,7313628.045
